+---------+-------+-----------+--------+-----------+------------+
|hall_name|session|seat_number|seat_row|seat_markup|is_available|
|Hall 814 |33     |6          |1       |50         |true        |
|Hall 814 |33     |14         |9       |10         |true        |
|Hall 82  |34     |6          |7       |20         |true        |
|Hall 82  |34     |10         |9       |10         |true        |
|Hall 719 |35     |15         |5       |10         |true        |
|Hall 719 |35     |19         |7       |20         |true        |
|Hall 719 |35     |12         |8       |30         |true        |
|Hall 118 |36     |19         |9       |10         |true        |
|Hall 118 |36     |4          |5       |10         |true        |
|Hall 447 |37     |10         |2       |10         |true        |
|Hall 447 |37     |20         |5       |30         |true        |
|Hall 447 |37     |9          |3       |10         |true        |
|Hall 447 |37     |8          |4       |10         |true        |
|Hall 447 |37     |6          |1       |50         |true        |
|Hall 173 |38     |19         |9       |50         |true        |
|Hall 173 |38     |14         |3       |30         |true        |
|Hall 173 |38     |5          |4       |10         |true        |
|Hall 173 |38     |20         |10      |30         |true        |
|Hall 173 |38     |19         |10      |20         |true        |
|Hall 173 |38     |10         |6       |20         |true        |
|Hall 1001|39     |14         |5       |50         |true        |
|Hall 1001|39     |8          |8       |50         |true        |
|Hall 1001|39     |15         |9       |10         |true        |
|Hall 1612|40     |12         |5       |30         |true        |
|Hall 1612|40     |6          |1       |20         |true        |
|Hall 1612|40     |10         |8       |30         |true        |
|Hall 1612|40     |4          |1       |30         |true        |
|Hall 1612|40     |5          |3       |10         |true        |
|Hall 1612|40     |14         |6       |30         |true        |
|Hall 1612|40     |6          |10      |10         |true        |
|Hall 1612|40     |11         |10      |10         |true        |
|Hall 1826|41     |18         |6       |50         |true        |
|Hall 1826|41     |6          |3       |10         |true        |
|Hall 1826|41     |2          |9       |20         |true        |
|Hall 854 |42     |11         |9       |50         |true        |
|Hall 854 |42     |13         |4       |10         |true        |
|Hall 854 |42     |13         |2       |50         |true        |
|Hall 1154|43     |15         |8       |20         |true        |
|Hall 1154|43     |18         |2       |10         |true        |
|Hall 1154|43     |12         |6       |30         |true        |
|Hall 1066|44     |4          |2       |30         |true        |
|Hall 1066|44     |6          |3       |10         |true        |
|Hall 1066|44     |20         |6       |10         |true        |
|Hall 1066|44     |7          |8       |10         |true        |
|Hall 1066|44     |19         |5       |20         |true        |
|Hall 282 |45     |10         |10      |20         |true        |
|Hall 282 |45     |13         |4       |20         |true        |
|Hall 282 |45     |15         |9       |10         |true        |
|Hall 282 |45     |2          |10      |50         |true        |
|Hall 835 |46     |10         |2       |30         |true        |
|Hall 835 |46     |15         |4       |10         |true        |
|Hall 910 |47     |20         |8       |20         |true        |
|Hall 910 |47     |10         |9       |20         |true        |
|Hall 910 |47     |10         |1       |50         |true        |
|Hall 910 |47     |12         |5       |10         |true        |
|Hall 910 |47     |15         |7       |10         |true        |
|Hall 563 |48     |12         |1       |30         |true        |
|Hall 563 |48     |17         |10      |30         |true        |
|Hall 563 |48     |13         |1       |50         |true        |
|Hall 563 |48     |10         |8       |30         |true        |
|Hall 563 |48     |3          |5       |20         |true        |
|Hall 1444|49     |19         |7       |10         |true        |
|Hall 1444|49     |4          |2       |10         |true        |
|Hall 1444|49     |2          |10      |10         |true        |
|Hall 1444|49     |4          |5       |20         |true        |
|Hall 1444|49     |2          |8       |50         |true        |
|Hall 1444|49     |8          |1       |10         |true        |
|Hall 1185|50     |16         |9       |30         |true        |
|Hall 1185|50     |2          |3       |30         |true        |
|Hall 1185|50     |16         |6       |10         |true        |
|Hall 1185|50     |14         |7       |50         |true        |
|Hall 1185|50     |10         |4       |20         |true        |
|Hall 1185|50     |1          |9       |20         |true        |
|Hall 1185|50     |19         |1       |10         |true        |
|Hall 1185|50     |5          |10      |10         |true        |
|Hall 1185|50     |18         |3       |20         |true        |
|Hall 1870|51     |17         |4       |30         |true        |
|Hall 1870|51     |18         |8       |50         |true        |
|Hall 1870|51     |15         |4       |10         |true        |
|Hall 1870|51     |17         |6       |10         |true        |
|Hall 1870|51     |4          |6       |20         |true        |
|Hall 1870|51     |16         |3       |50         |true        |
|Hall 1870|51     |7          |9       |10         |true        |
|Hall 1870|51     |7          |6       |20         |true        |
|Hall 49  |52     |19         |10      |10         |true        |
|Hall 49  |52     |9          |3       |50         |true        |
|Hall 49  |52     |7          |8       |30         |true        |
|Hall 49  |52     |15         |4       |10         |true        |
|Hall 49  |52     |4          |9       |10         |true        |
|Hall 49  |52     |9          |2       |50         |true        |
|Hall 49  |52     |13         |10      |30         |true        |
|Hall 996 |53     |5          |4       |50         |true        |
|Hall 996 |53     |9          |8       |10         |true        |
|Hall 996 |53     |7          |6       |20         |true        |
|Hall 996 |53     |9          |5       |10         |true        |
|Hall 712 |54     |9          |4       |30         |true        |
|Hall 712 |54     |3          |6       |30         |true        |
|Hall 712 |54     |5          |2       |10         |true        |
|Hall 712 |54     |15         |4       |20         |true        |
|Hall 712 |54     |3          |7       |30         |true        |
|Hall 712 |54     |7          |3       |50         |true        |
|Hall 712 |54     |12         |10      |20         |true        |
|Hall 395 |55     |14         |8       |10         |true        |
|Hall 395 |55     |5          |3       |20         |true        |
|Hall 1693|56     |8          |6       |20         |true        |
|Hall 1693|56     |8          |9       |50         |true        |
|Hall 1693|56     |15         |1       |30         |true        |
|Hall 1693|56     |16         |10      |30         |true        |
|Hall 1693|56     |9          |9       |20         |true        |
|Hall 411 |57     |5          |6       |10         |true        |
|Hall 411 |57     |10         |1       |30         |true        |
|Hall 411 |57     |4          |4       |50         |true        |
|Hall 411 |57     |1          |3       |50         |true        |
|Hall 411 |57     |7          |2       |10         |true        |
|Hall 411 |57     |7          |4       |30         |true        |
|Hall 411 |57     |9          |9       |10         |true        |
|Hall 411 |57     |5          |7       |30         |true        |
|Hall 1834|58     |16         |2       |50         |true        |
|Hall 73  |59     |16         |2       |10         |true        |
|Hall 73  |59     |7          |1       |20         |true        |
|Hall 73  |59     |19         |3       |10         |true        |
|Hall 73  |59     |11         |4       |30         |true        |
|Hall 1020|60     |12         |1       |20         |true        |
|Hall 1020|60     |1          |5       |30         |true        |
|Hall 1020|60     |10         |10      |20         |true        |
|Hall 1020|60     |14         |4       |20         |true        |
|Hall 1020|60     |18         |6       |30         |true        |
|Hall 210 |61     |12         |10      |50         |true        |
|Hall 210 |61     |7          |3       |10         |true        |
|Hall 210 |61     |8          |9       |30         |true        |
|Hall 210 |61     |14         |7       |20         |true        |
|Hall 210 |61     |6          |2       |30         |true        |
|Hall 210 |61     |1          |7       |10         |true        |
|Hall 1100|62     |9          |9       |50         |true        |
|Hall 1100|62     |12         |7       |50         |true        |
|Hall 1100|62     |7          |2       |20         |true        |
|Hall 1100|62     |13         |8       |50         |true        |
|Hall 637 |63     |15         |8       |10         |true        |
|Hall 637 |63     |20         |2       |10         |true        |
|Hall 637 |63     |11         |6       |30         |true        |
|Hall 1910|64     |12         |7       |30         |true        |
|Hall 1910|64     |9          |3       |10         |true        |
|Hall 1910|64     |18         |8       |10         |true        |
|Hall 1910|64     |15         |10      |50         |true        |
|Hall 1910|64     |6          |8       |10         |true        |
|Hall 453 |65     |15         |8       |30         |true        |
|Hall 453 |65     |18         |10      |30         |true        |
|Hall 453 |65     |16         |6       |30         |true        |
|Hall 453 |65     |15         |6       |20         |true        |
|Hall 453 |65     |9          |7       |50         |true        |
|Hall 453 |65     |19         |9       |10         |true        |
|Hall 453 |65     |5          |3       |10         |true        |
|Hall 453 |65     |16         |8       |20         |true        |
|Hall 267 |66     |19         |2       |10         |true        |
|Hall 267 |66     |6          |8       |20         |true        |
|Hall 267 |66     |16         |7       |20         |true        |
|Hall 267 |66     |16         |5       |30         |true        |
|Hall 267 |66     |20         |3       |50         |true        |
|Hall 267 |66     |19         |4       |30         |true        |
|Hall 580 |67     |17         |6       |20         |true        |
|Hall 580 |67     |6          |2       |30         |true        |
|Hall 580 |67     |3          |4       |30         |true        |
|Hall 580 |67     |9          |10      |30         |true        |
|Hall 580 |67     |4          |2       |20         |true        |
|Hall 1381|68     |20         |5       |50         |true        |
|Hall 1381|68     |15         |3       |50         |true        |
|Hall 1381|68     |3          |8       |50         |true        |
|Hall 1381|68     |17         |6       |20         |true        |
|Hall 1381|68     |5          |5       |20         |true        |
|Hall 1381|68     |15         |4       |50         |true        |
|Hall 310 |69     |9          |8       |20         |true        |
|Hall 310 |69     |20         |4       |30         |true        |
|Hall 310 |69     |19         |10      |10         |true        |
|Hall 310 |69     |10         |9       |50         |true        |
|Hall 310 |69     |16         |4       |10         |true        |
|Hall 310 |69     |9          |9       |20         |true        |
|Hall 310 |69     |12         |10      |50         |true        |
|Hall 1366|70     |16         |5       |30         |true        |
|Hall 1366|70     |6          |6       |50         |true        |
|Hall 1030|71     |4          |9       |30         |true        |
|Hall 1030|71     |4          |1       |20         |true        |
|Hall 1164|72     |18         |10      |50         |true        |
|Hall 1164|72     |12         |6       |50         |true        |
|Hall 1164|72     |10         |8       |20         |true        |
|Hall 1964|73     |1          |1       |50         |true        |
|Hall 1964|73     |14         |9       |20         |true        |
|Hall 1964|73     |18         |8       |20         |true        |
|Hall 1964|73     |20         |3       |10         |true        |
|Hall 1964|73     |13         |1       |10         |true        |
|Hall 760 |74     |8          |7       |50         |true        |
|Hall 760 |74     |10         |7       |10         |true        |
|Hall 760 |74     |15         |3       |20         |true        |
|Hall 474 |75     |5          |8       |50         |true        |
|Hall 474 |75     |16         |2       |10         |true        |
|Hall 1085|76     |20         |6       |20         |true        |
|Hall 1085|76     |19         |5       |30         |true        |
|Hall 1085|76     |4          |9       |50         |true        |
|Hall 963 |77     |17         |9       |50         |true        |
|Hall 963 |77     |12         |3       |20         |true        |
|Hall 963 |77     |1          |1       |10         |true        |
|Hall 963 |77     |3          |7       |20         |true        |
|Hall 963 |77     |2          |5       |20         |true        |
|Hall 963 |77     |4          |8       |30         |true        |
|Hall 963 |77     |14         |1       |30         |true        |
|Hall 963 |77     |13         |6       |10         |true        |
|Hall 823 |78     |6          |4       |20         |true        |
|Hall 823 |78     |7          |9       |10         |true        |
|Hall 823 |78     |17         |10      |20         |true        |
|Hall 823 |78     |9          |9       |30         |true        |
|Hall 823 |78     |1          |4       |20         |true        |
|Hall 823 |78     |18         |5       |20         |true        |
|Hall 1123|79     |18         |8       |30         |true        |
|Hall 1123|79     |19         |3       |20         |true        |
|Hall 1123|79     |19         |5       |30         |true        |
|Hall 569 |80     |14         |5       |30         |true        |
|Hall 569 |80     |10         |10      |10         |true        |
|Hall 103 |81     |6          |8       |30         |true        |
|Hall 103 |81     |13         |8       |50         |true        |
|Hall 103 |81     |20         |10      |10         |true        |
|Hall 103 |81     |3          |5       |20         |true        |
|Hall 103 |81     |16         |3       |30         |true        |
|Hall 103 |81     |19         |1       |20         |true        |
|Hall 103 |81     |4          |5       |30         |true        |
|Hall 103 |81     |17         |3       |50         |true        |
|Hall 1481|82     |6          |9       |20         |true        |
|Hall 1481|82     |16         |2       |20         |true        |
|Hall 1481|82     |8          |3       |20         |true        |
|Hall 1481|82     |15         |4       |30         |true        |
|Hall 1481|82     |19         |10      |10         |true        |
|Hall 1481|82     |2          |10      |30         |true        |
|Hall 1429|83     |17         |6       |50         |true        |
|Hall 1429|83     |1          |5       |20         |true        |
|Hall 1429|83     |1          |6       |30         |true        |
|Hall 1429|83     |8          |8       |20         |true        |
|Hall 1429|83     |7          |3       |30         |true        |
|Hall 1218|84     |18         |10      |30         |true        |
|Hall 1218|84     |19         |1       |50         |true        |
|Hall 1218|84     |2          |3       |30         |true        |
|Hall 1218|84     |8          |7       |30         |true        |
|Hall 1218|84     |19         |3       |10         |true        |
|Hall 1218|84     |18         |1       |50         |true        |
|Hall 1218|84     |9          |6       |30         |true        |
|Hall 1218|84     |18         |3       |30         |true        |
|Hall 1218|84     |17         |2       |50         |true        |
|Hall 1218|84     |4          |7       |10         |true        |
|Hall 1218|84     |6          |2       |50         |true        |
|Hall 1218|84     |1          |6       |30         |true        |
|Hall 1218|84     |10         |7       |50         |true        |
|Hall 1003|85     |10         |3       |10         |true        |
|Hall 1003|85     |2          |1       |30         |true        |
|Hall 1003|85     |18         |8       |30         |true        |
|Hall 181 |86     |7          |1       |50         |true        |
|Hall 181 |86     |15         |9       |30         |true        |
|Hall 181 |86     |4          |3       |30         |true        |
|Hall 181 |86     |1          |3       |20         |true        |
|Hall 181 |86     |16         |5       |20         |true        |
|Hall 181 |86     |14         |8       |10         |true        |
|Hall 181 |86     |2          |10      |10         |true        |
|Hall 181 |86     |15         |10      |50         |true        |
|Hall 181 |86     |20         |9       |50         |true        |
|Hall 181 |86     |14         |2       |50         |true        |
|Hall 235 |87     |10         |2       |10         |true        |
|Hall 235 |87     |18         |6       |20         |true        |
|Hall 235 |87     |17         |2       |20         |true        |
|Hall 235 |87     |17         |4       |20         |true        |
|Hall 235 |87     |5          |2       |50         |true        |
|Hall 901 |88     |3          |7       |10         |true        |
|Hall 901 |88     |3          |10      |20         |true        |
|Hall 901 |88     |18         |6       |10         |true        |
|Hall 901 |88     |7          |1       |50         |true        |
|Hall 901 |88     |6          |10      |10         |true        |
|Hall 901 |88     |13         |6       |30         |true        |
|Hall 1427|89     |2          |10      |10         |true        |
|Hall 1427|89     |12         |3       |10         |true        |
|Hall 1427|89     |15         |9       |20         |true        |
|Hall 1427|89     |1          |9       |30         |true        |
|Hall 1427|89     |5          |8       |10         |true        |
|Hall 1427|89     |18         |10      |50         |true        |
|Hall 1337|90     |13         |1       |50         |true        |
|Hall 1337|90     |10         |1       |30         |true        |
|Hall 1337|90     |3          |6       |10         |true        |
|Hall 1337|90     |8          |8       |10         |true        |
|Hall 1337|90     |8          |9       |30         |true        |
|Hall 885 |91     |8          |1       |20         |true        |
|Hall 885 |91     |11         |10      |10         |true        |
|Hall 885 |91     |8          |3       |20         |true        |
|Hall 885 |91     |3          |1       |10         |true        |
|Hall 885 |91     |2          |6       |20         |true        |
|Hall 885 |91     |12         |8       |10         |true        |
|Hall 1447|92     |3          |1       |30         |true        |
|Hall 1447|92     |19         |9       |50         |true        |
|Hall 1447|92     |10         |4       |20         |true        |
|Hall 1447|92     |3          |4       |20         |true        |
|Hall 1447|92     |1          |8       |10         |true        |
|Hall 1990|93     |13         |6       |10         |true        |
|Hall 1990|93     |3          |6       |10         |true        |
|Hall 1990|93     |15         |6       |30         |true        |
|Hall 1990|93     |3          |8       |10         |true        |
|Hall 1990|93     |13         |1       |30         |true        |
|Hall 1446|94     |1          |4       |50         |true        |
|Hall 1446|94     |14         |6       |30         |true        |
|Hall 1446|94     |14         |10      |20         |true        |
|Hall 1446|94     |16         |4       |30         |true        |
|Hall 1446|94     |14         |9       |10         |true        |
|Hall 1446|94     |13         |9       |50         |true        |
|Hall 430 |95     |16         |8       |20         |true        |
|Hall 430 |95     |12         |3       |30         |true        |
|Hall 430 |95     |14         |3       |50         |true        |
|Hall 430 |95     |16         |1       |10         |true        |
|Hall 430 |95     |4          |8       |20         |true        |
|Hall 430 |95     |17         |2       |30         |true        |
|Hall 99  |96     |8          |2       |20         |true        |
|Hall 99  |96     |10         |7       |30         |true        |
|Hall 99  |96     |2          |10      |30         |true        |
|Hall 99  |96     |10         |10      |20         |true        |
|Hall 1521|97     |11         |6       |20         |true        |
|Hall 1521|97     |5          |2       |20         |true        |
|Hall 1521|97     |1          |6       |20         |true        |
|Hall 1521|97     |16         |3       |30         |true        |
|Hall 1521|97     |3          |4       |20         |true        |
|Hall 490 |98     |9          |8       |10         |true        |
|Hall 490 |98     |20         |7       |50         |true        |
|Hall 490 |98     |3          |9       |50         |true        |
|Hall 490 |98     |2          |1       |50         |true        |
|Hall 559 |99     |1          |7       |10         |true        |
|Hall 559 |99     |15         |3       |30         |true        |
|Hall 559 |99     |18         |5       |20         |true        |
|Hall 559 |99     |14         |3       |20         |true        |
|Hall 559 |99     |15         |10      |30         |true        |
|Hall 1002|100    |10         |8       |50         |true        |
|Hall 539 |101    |15         |1       |10         |true        |
|Hall 539 |101    |12         |7       |50         |true        |
|Hall 539 |101    |20         |1       |10         |true        |
|Hall 539 |101    |2          |6       |20         |true        |
|Hall 539 |101    |3          |7       |30         |true        |
|Hall 941 |102    |16         |4       |50         |true        |
|Hall 941 |102    |16         |1       |50         |true        |
|Hall 941 |102    |17         |5       |50         |true        |
|Hall 941 |102    |18         |4       |30         |true        |
|Hall 941 |102    |15         |6       |20         |true        |
|Hall 619 |103    |8          |3       |30         |true        |
|Hall 619 |103    |20         |1       |30         |true        |
|Hall 619 |103    |2          |6       |50         |true        |
|Hall 427 |104    |5          |8       |30         |true        |
|Hall 427 |104    |10         |9       |20         |true        |
|Hall 427 |104    |8          |2       |50         |true        |
|Hall 427 |104    |13         |6       |50         |true        |
|Hall 427 |104    |18         |9       |50         |true        |
|Hall 427 |104    |14         |4       |10         |true        |
|Hall 1153|105    |18         |5       |20         |true        |
|Hall 1153|105    |5          |4       |50         |true        |
|Hall 1153|105    |4          |8       |20         |true        |
|Hall 1153|105    |9          |2       |10         |true        |
|Hall 1153|105    |5          |7       |30         |true        |
|Hall 1058|106    |14         |8       |10         |true        |
|Hall 1058|106    |13         |4       |30         |true        |
|Hall 1058|106    |7          |8       |10         |true        |
|Hall 1058|106    |15         |4       |10         |true        |
|Hall 1058|106    |4          |4       |30         |true        |
|Hall 412 |107    |13         |2       |30         |true        |
|Hall 412 |107    |15         |4       |10         |true        |
|Hall 412 |107    |6          |7       |30         |true        |
|Hall 412 |107    |3          |10      |20         |true        |
|Hall 412 |107    |19         |1       |50         |true        |
|Hall 412 |107    |19         |9       |10         |true        |
|Hall 1130|108    |9          |10      |50         |true        |
|Hall 1130|108    |11         |2       |10         |true        |
|Hall 1130|108    |14         |1       |30         |true        |
|Hall 1130|108    |9          |5       |50         |true        |
|Hall 1130|108    |15         |4       |30         |true        |
|Hall 1130|108    |5          |9       |50         |true        |
|Hall 1130|108    |7          |10      |50         |true        |
|Hall 638 |109    |4          |5       |10         |true        |
|Hall 638 |109    |11         |9       |30         |true        |
|Hall 638 |109    |5          |4       |30         |true        |
|Hall 638 |109    |17         |9       |20         |true        |
|Hall 638 |109    |19         |6       |30         |true        |
|Hall 638 |109    |3          |9       |50         |true        |
|Hall 638 |109    |17         |5       |30         |true        |
|Hall 638 |109    |13         |6       |20         |true        |
|Hall 490 |110    |9          |8       |10         |true        |
|Hall 490 |110    |20         |7       |50         |true        |
|Hall 490 |110    |3          |9       |50         |true        |
|Hall 490 |110    |2          |1       |50         |true        |
|Hall 1180|111    |8          |4       |10         |true        |
|Hall 1180|111    |3          |4       |10         |true        |
|Hall 1180|111    |17         |6       |20         |true        |
|Hall 1180|111    |12         |6       |10         |true        |
|Hall 1180|111    |12         |10      |50         |true        |
|Hall 1180|111    |1          |2       |50         |true        |
|Hall 196 |112    |12         |6       |20         |true        |
|Hall 196 |112    |3          |3       |30         |true        |
|Hall 196 |112    |14         |6       |20         |true        |
|Hall 196 |112    |11         |5       |50         |true        |
|Hall 196 |112    |17         |5       |50         |true        |
|Hall 196 |112    |8          |7       |30         |true        |
|Hall 196 |112    |8          |10      |50         |true        |
|Hall 875 |113    |9          |8       |20         |true        |
|Hall 875 |113    |18         |6       |20         |true        |
|Hall 1424|114    |18         |7       |50         |true        |
|Hall 1424|114    |17         |5       |10         |true        |
|Hall 1424|114    |14         |4       |20         |true        |
|Hall 1424|114    |16         |7       |10         |true        |
|Hall 328 |115    |6          |7       |20         |true        |
|Hall 328 |115    |16         |9       |10         |true        |
|Hall 328 |115    |13         |10      |30         |true        |
|Hall 328 |115    |7          |8       |30         |true        |
|Hall 328 |115    |19         |9       |20         |true        |
|Hall 328 |115    |10         |1       |30         |true        |
|Hall 328 |115    |10         |5       |10         |true        |
|Hall 328 |115    |18         |5       |10         |true        |
|Hall 328 |115    |1          |7       |10         |true        |
|Hall 328 |115    |16         |10      |30         |true        |
|Hall 1235|116    |8          |6       |30         |true        |
|Hall 1235|116    |10         |5       |10         |true        |
|Hall 1235|116    |17         |7       |20         |true        |
|Hall 1235|116    |19         |7       |20         |true        |
|Hall 589 |117    |13         |9       |10         |true        |
|Hall 589 |117    |1          |7       |20         |true        |
|Hall 589 |117    |16         |3       |50         |true        |
|Hall 589 |117    |1          |9       |10         |true        |
|Hall 589 |117    |5          |7       |20         |true        |
|Hall 589 |117    |7          |1       |10         |true        |
|Hall 589 |117    |6          |4       |50         |true        |
|Hall 402 |118    |5          |6       |10         |true        |
|Hall 402 |118    |18         |8       |10         |true        |
|Hall 402 |118    |3          |6       |50         |true        |
|Hall 402 |118    |2          |2       |10         |true        |
|Hall 402 |118    |14         |4       |50         |true        |
|Hall 1033|119    |6          |5       |10         |true        |
|Hall 1033|119    |13         |2       |30         |true        |
